,name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
218,portrait-of-a-young-man,,British,2536.0,3089.0,0.2771347514895256,0.2544098589741984,0.2806462019128887
219,portrait-of-guidubaldo-della-rovere,1532,Italian,2536.0,3226.0,0.29201775553088355,0.2756720549697911,0.26255288253559
220,noli-me-tangere,,Italian,730.0,1074.0,0.25962102152387184,0.31564868895493436,0.39036658728693896
221,noli-me-tangere,,Italian,2536.0,3327.0,0.1679030765266283,0.3380923974377188,0.34707496386388925
222,noli-me-tangere,1561,Italian,730.0,1074.0,0.25962102152387184,0.31564868895493436,0.39036658728693896
223,noli-me-tangere,1561,Italian,2536.0,3327.0,0.1679030765266283,0.3380923974377188,0.34707496386388925
224,portrait-of-a-lady-in-green,,Italian,830.0,1022.0,0.1354619721685763,0.3608490796861901,0.41552246513393265
225,portrait-of-a-lady-with-a-puppy,,Italian,801.0,1020.0,0.1218864938652186,0.33658315680579637,0.41419792445141396
226,ugolino-martelli,,Italian,1109.0,1355.0,0.5272158776952376,0.36663678774912584,0.2124864914272651
227,portrait-of-a-young-man-with-book,,Italian,2536.0,3246.0,0.14095903784969027,0.23757858613469296,0.3029987533652624
228,portrait-of-cosimo-i-de-medici-as-orpheus,,Italian,304.0,372.0,0.09402489450948809,0.374473970713536,0.43037360459180835
229,adoration-of-the-shepherds,,Italian,1100.0,1521.0,0.28090162740711905,0.43435309046588805,0.4441680501499505
230,altarpiece,,Italian,862.0,1200.0,0.23323142889277879,0.45234653792154195,0.3375620384271263
231,lucrezia-panciatichi,1540,Italian,2536.0,3208.0,0.21586941771941817,0.2934813416560998,0.3449371054757802
232,portrait-of-signor-panciatichi-bartolomeo,1540,Italian,2536.0,3094.0,0.1775077044475789,0.16857279911157674,0.2536730570013237
233,the-panciatichi-holy-family,1540,Italian,2723.0,3501.0,0.3154925424753672,0.4438459549020024,0.393681137893383
234,an-allegory-with-venus-and-cupid,,Italian,3349.0,4226.0,0.19905691523972552,0.41178843575583246,0.5025149105238068
235,portrait-of-bia-de-medici,1542,Italian,2536.0,3415.0,0.34776280791596115,0.22441661189761697,0.5097205920162918
236,the-israelites-crossing-the-red-sea,,Italian,3200.0,2106.0,0.14762489173743737,0.30084487591097125,0.5980599274016352
237,eleonora-da-toledo,1543,Italian,1576.0,2122.0,0.5697402162053499,0.35499334037991126,0.42827617009668134
238,eleonora-da-toledo,1543,Italian,362.0,492.0,0.3842014722253393,0.4668811307430963,0.2847135799924784
239,eleonora-da-toledo,1543,Italian,517.0,700.0,0.35867433263183507,0.38965302647680256,0.38898713218362785
240,eleonora-da-toledo,,Italian,1576.0,2122.0,0.5697402162053499,0.35499334037991126,0.42827617009668134
