name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
portrait-of-semen-ivanovich-mordvinov-as-chevalier-of-the-order-of-st-andrew,1771,Russian,805,1000,0.2479077273679671,0.2295193607073101,0.3124218438679819
alexander-mordvinov,1771,Russian,505,637,0.3780176106412141,0.2410766292319513,0.2821469669360509
nikolai-mordvinov,1771,Russian,435,550,0.10124539730160166,0.4317183328338943,0.33915562931546706
portrait-of-two-sisters,1772,Russian,903,1134,0.379018008900085,0.21080657113305357,0.3949451040824026
sergey-mordvinov,1773,Russian,421,550,0.12207587701068874,0.46336585972868344,0.351609604498245
catherine-mordvinova,1773,Russian,457,550,0.19951381929137116,0.337599705867927,0.20758247424690984
portrait-of-adam-vasilevich-olsufyev,1773,Russian,948,1233,0.23381379219459017,0.4400467803755243,0.3345162380795463
portrait-of-a-young-woman-in-a-red-dress,1775,Russian,582,709,0.18007882735552463,0.5485575907455856,0.5323704231473269
portrait-of-sarah-cook,1775,Russian,465,575,0.1097636274391119,0.48287620670858566,0.4018099423406576
samuil-greig,1775,Russian,425,550,0.12970529111225554,0.3551751452947705,0.2852434266540841
teresa-schnee,1777,Russian,402,550,0.22005850243585817,0.26713731770996396,0.20446970140385418
portrait-of-alexei-orlov,1779,Russian,460,640,0.4284952439146354,0.18801136441393734,0.5537366394927536
portrait-of-count-orlov-chesmensky,1779,Russian,776,974,0.329510145650654,0.1886028494536219,0.4739403021099633
yuri-matveevich-veldten,1786,Russian,407,550,0.16341687809753563,0.28257907102002494,0.266981338168504
alexandr-viazemsky,,Russian,872,1120,0.08078176956215577,0.3622861914249776,0.26185780619587296
portrait-of-a-woman,,Russian,882,1134,0.12191142148781782,0.29753366876695575,0.3207299223824352
heinrich-friedrich-wilhelm-von-ploets,,Russian,416,550,0.10487749738790043,0.4433720516195493,0.27312236048265465
portrait-of-tishin,,Russian,400,540,0.13900935802200773,0.5626706444520789,0.3273111655773421
portrait-of-a-woman-1,,Russian,700,875,0.17190086932459112,0.43696573034236647,0.3970080896358543
elena-kurakina-nee-apraksina,,Russian,632,803,0.4021809513834593,0.07228613631703117,0.5646318240081947
portrait-of-alexander-kokorinov-director-and-first-rector-of-the-academy-of-arts-in-st,1769,Russian,1400,1965,0.2859647702610243,0.2504698560093844,0.31223161060862
ivan-glebov-oscherin,1770,Russian,464,550,0.06471344637872878,0.4753881156722603,0.23800385702870494
philanthropic-giver-portrait-of-n-a-sezemov,1770,Russian,876,1119,0.4198713243385586,0.26331527091246065,0.17976624627513704
portrait-of-alexander-golytsyn,1772,Russian,879,1120,0.18727842666168654,0.6287461363533982,0.47569374336765413
portrait-of-princesses-davydova-and-rzhevskaya,,Russian,776,1182,0.21829353974547824,0.4697284641559896,0.29417725521663307
portrait-of-denis-diderot,1773,Russian,330,450,0.07754885189350481,0.34496350662766345,0.31015258467023166
portrait-of-e-n-khruschova-and-princess-e-n-khovanskaya,1773,Russian,1113,1468,0.2565848551845515,0.4033687715224218,0.37769312444529507
portrait-of-ekaterina-nelidova,1773,Russian,1300,2127,0.18276477541248726,0.3372428082736509,0.3775715802215428
portrait-of-g-i-alymova,1773,Russian,524,700,0.26184813381982036,0.5615958445689706,0.27956178501935114
portrait-of-maria-palovna-narychkina,1773,Russian,469,560,0.3966371984063758,0.2482756854256666,0.22257824025132442
portrait-of-procope-demidov,1773,Russian,2847,4000,0.10141926345539085,0.5785704508207459,0.32279048465188626
portrait-of-an-unknown-lady-in-a-pink-dress,1774,Russian,566,709,0.11461548821690032,0.7005295239876681,0.20286407784542498
portrait-of-an-unknown-lady-in-a-pink-dress,1774,Russian,536,686,0.445535529505426,0.3335228954045804,0.2973608953176153
portrait-of-an-unknown-lady-in-a-pink-dress,,Russian,566,709,0.11461548821690032,0.7005295239876681,0.20286407784542498
portrait-of-an-unknown-lady-in-a-pink-dress,,Russian,536,686,0.445535529505426,0.3335228954045804,0.2973608953176153
portrait-of-nikolay-lvov,1774,Russian,600,750,0.18541853914470918,0.4101927419208936,0.48983589542483663
portrait-of-nikolay-lvov,1774,Russian,1400,1762,0.5073958096178922,0.26011123640244965,0.21422063672233937
portrait-of-nikolay-lvov,1789,Russian,600,750,0.18541853914470918,0.4101927419208936,0.48983589542483663
portrait-of-nikolay-lvov,1789,Russian,1400,1762,0.5073958096178922,0.26011123640244965,0.21422063672233937
portrait-of-a-p-levshina,1775,Russian,1300,1990,0.0992054894551599,0.32172561671417454,0.32794013961208734
portrait-of-an-uknown-man,,Russian,768,914,0.13854272209221608,0.3780864511890955,0.36124305130969236
portrait-of-an-unknown-man,,Russian,597,715,0.1143619755362179,0.5829584405961259,0.28278615069037777
portrait-of-an-unknown-man,,Russian,728,866,0.6363377982260904,0.2643819664284964,0.34212954945701857
portrait-of-an-unknown-man,,Russian,761,884,0.4429143275289943,0.4936912543555261,0.3758954725598506
portrait-of-an-unknown-man,1781,Russian,597,715,0.1143619755362179,0.5829584405961259,0.28278615069037777
portrait-of-an-unknown-man,1781,Russian,728,866,0.6363377982260904,0.2643819664284964,0.34212954945701857
portrait-of-an-unknown-man,1781,Russian,761,884,0.4429143275289943,0.4936912543555261,0.3758954725598506
portrait-of-an-unknown-man,,Russian,597,715,0.1143619755362179,0.5829584405961259,0.28278615069037777
portrait-of-an-unknown-man,,Russian,728,866,0.6363377982260904,0.2643819664284964,0.34212954945701857
portrait-of-an-unknown-man,,Russian,761,884,0.4429143275289943,0.4936912543555261,0.3758954725598506
